"id_str","created_at","source","lang","place","geo","text","is_retweet","is_reply","hashtags","media","user_screen_name","user_time_zone","user_followers_count","user_location","user_statuses_count","user_friends_count","user_profile_background_color","user_created_at","user_is_verified"
"ID_746924902121279489","Sun Jun 26 04:35:48 +0000 2016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","en","","","RT @cheryl_kernot: Worth noting #ausvotes #climatechange  https://t.co/W0uJGTuTFQ",True,False,"ausvotes|climatechange","","DineshMathew","Melbourne",740,"Melbourne, Victoria",11566,598,"642D8B","Tue Feb 24 00:44:16 +0000 2009",False
"ID_746963809399517184","Sun Jun 26 07:10:24 +0000 2016","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","en","","","Govt assists regions in climate change fight... https://t.co/ZGBr93hx9S",False,False,"","","madtrekkie","",247,"Adelaide South Australia",19728,1205,"131516","Fri Jun 26 12:11:42 +0000 2009",False
"ID_747030991777071104","Sun Jun 26 11:37:22 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","RT @RT_com: 2016 likely to break all previous heat records - climate scientist, GISS director https://t.co/ske6FUkq4J https://t.co/hBZuQobM…",True,False,"","photo","bepbab","Pacific Time (US & Canada)",36,"Japan",1215,181,"000000","Sun Feb 21 01:28:53 +0000 2016",False
"ID_747063469913083904","Sun Jun 26 13:46:25 +0000 2016","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","en","","","RT @DerecThompson: Beaten up for being Polish. Disgusting. Current political climate in England is truly frightening. https://t.co/WEZoROnF…",True,False,"","","killhopelaw","Edinburgh",2325,"North Pennines near Erewhon",120699,1249,"C0DEED","Thu Feb 26 09:58:37 +0000 2009",False
"ID_747069207091740673","Sun Jun 26 14:09:13 +0000 2016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","en","","","RT @JunkScience: Major setback to Obama as India delays ratification of Paris climate treaty indefinitely. https://t.co/iD4nz6Jdw3 https://…",True,False,"","photo","skylucsimard1","Pacific Time (US & Canada)",99,"Wakefield Quebec",3853,124,"000000","Tue Oct 27 00:40:31 +0000 2015",False
"ID_747098958019833856","Sun Jun 26 16:07:26 +0000 2016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","en","","","@CNNSotu @BernieSanders @jaketapper clueless. $15 hr by by jobs. Climate change  by humans not believed by all scientists. Ridiculous.",False,True,"","","ncLobo","Eastern Time (US & Canada)",280,"NC",11628,352,"ACDED6","Wed Feb 11 16:26:32 +0000 2009",False
"ID_747104301147774979","Sun Jun 26 16:28:40 +0000 2016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","en","","","RT @Alex_Verbeek: Britain's Exit from the E.U. Could Put Climate Commitment in Doubt https://t.co/II2gJI4xLl #climate #Brexit #EU https://t…",True,False,"brexit|climate|eu","photo","bishakha","Kolkata",111,"",19734,732,"C0DEED","Thu Apr 16 15:59:06 +0000 2009",False
"ID_747125350702907392","Sun Jun 26 17:52:19 +0000 2016","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","en","","","20 X Blue T4/T4.2 2835 SMD Led Neo Wedge Dash Switch Lamp A/C Climate Light https://t.co/G6mYnGbk0Y https://t.co/axDrqKMwTO",False,False,"","photo","ChargeReginald","",81,"",73732,40,"C0DEED","Fri Oct 16 21:37:47 +0000 2015",False
"ID_747331496793432064","Mon Jun 27 07:31:28 +0000 2016","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","en","","","Rwanda: Call for More Research to Combat Climate Change",False,False,"","","AmaLoverbird","",71,"One ♥",43662,264,"C0DEED","Mon Sep 02 17:31:34 +0000 2013",False
"ID_747337670309797888","Mon Jun 27 07:56:00 +0000 2016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","en","","","I'm sorry to disagree with you, but double check Greens rnwbls policy  https://t.co/hCnXRCECBW",False,False,"","","NamregStivonud","",105,"Melbourne, Australia",2355,440,"C0DEED","Tue Oct 13 07:02:53 +0000 2015",False
"ID_747364892638838784","Mon Jun 27 09:44:10 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","@LSE Blog: UKIP energy and social media https://t.co/3vJtRoxRYS via @LSEpoliticsblog",False,True,"","","BIEE10","Amsterdam",359,"London",1151,288,"C0DEED","Thu Mar 07 22:24:52 +0000 2013",False
"ID_747457611058937858","Mon Jun 27 15:52:36 +0000 2016","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","en","","","This Could Be the Biggest Threat To Our Climate If We Don't Act Fast https://t.co/xkQbOpC0ET #standwithahmed",False,False,"standwithahmed","","benderboysclub","Pacific Time (US & Canada)",661,"Fry's Apartment",73968,937,"000000","Fri Aug 07 09:12:50 +0000 2015",False
"ID_747479761094582272","Mon Jun 27 17:20:37 +0000 2016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","en","","","RT @Landesa_Global: Crop diversity grows climate resilience in Mozambique. Secure #landrights can also help: https://t.co/St2x5YMbvP @Food_…",True,False,"landrights","","AgroBioDiverse","Rome",7737,"Rome & Bonn, also Nairobi",53766,981,"C0DEED","Fri Apr 18 10:07:55 +0000 2008",False
"ID_747490242551230464","Mon Jun 27 18:02:16 +0000 2016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","en","","","RT @TurtleLodge: Share our logo n hashtag #OnjisayAki! @IISD_news donating $5 4 each retweet up to $5000 2 go 2 Youth Climate Summit! https…",True,False,"onjisayaki","photo","Ganosono","Central Time (US & Canada)",1044,"",10330,608,"131516","Sat Feb 18 03:47:03 +0000 2012",False
"ID_747508862077513728","Mon Jun 27 19:16:15 +0000 2016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","en","","","RT @SenSanders: We must listen to the scientific community, not Fox News, and lead the world in reversing climate change. https://t.co/9iqY…",True,False,"","photo","GoofballZadai","Eastern Time (US & Canada)",377,"PA",1599,753,"C0DEED","Sun Jan 19 18:35:02 +0000 2014",False
"ID_747509747562086400","Mon Jun 27 19:19:46 +0000 2016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","en","","","RT @SenSanders: We must listen to the scientific community, not Fox News, and lead the world in reversing climate change. https://t.co/9iqY…",True,False,"","photo","sentientview","Mountain Time (US & Canada)",44,"Denver, CO",173,77,"C0DEED","Mon May 25 21:00:57 +0000 2009",False
"ID_747512822540599296","Mon Jun 27 19:31:59 +0000 2016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","en","","","RT @SenSanders: We must listen to the scientific community, not Fox News, and lead the world in reversing climate change. https://t.co/9iqY…",True,False,"","photo","OmarCisneros95","Pacific Time (US & Canada)",238,"",12119,140,"ACDED6","Sat Feb 11 04:27:16 +0000 2012",False
"ID_747523706834952192","Mon Jun 27 20:15:14 +0000 2016","<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","en","","","Big Oil vs. Big Auto: Who gets the easy ride on climate change? - CBC.ca https://t.co/YxuDc6QnDU",False,False,"","","ClimateChange24","Beijing",970,"",19834,824,"1A1B1F","Sun Nov 25 11:11:12 +0000 2012",False
"ID_747537188733190144","Mon Jun 27 21:08:49 +0000 2016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","en","","","RT @HillaryClinton: We will fight climate change by making America the clean energy superpower of the 21st century: https://t.co/Jb7DXwL9WS",True,False,"","","ChristopherNFox","Eastern Time (US & Canada)",12512,"Boston",24089,11535,"022330","Sat Jun 16 15:36:09 +0000 2012",False
"ID_747681078480146432","Tue Jun 28 06:40:35 +0000 2016","<a href=""http://mesonet.agron.iastate.edu/projects/iembot/"" rel=""nofollow"">iembot</a>","en","","","NORTH LITTLE ROCK Jun 27 Climate: Hi: 92 Lo: 72 Precip: 0.14 Snow: 0.0 https://t.co/YzTWQ7Gdm5",False,False,"","","iembot_lzk","Central Time (US & Canada)",62,"Little Rock, AR",70150,0,"C0DEED","Fri Apr 24 12:52:38 +0000 2009",False
"ID_747683599709839362","Tue Jun 28 06:50:36 +0000 2016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","en","","","RT @jaketapper: Filmmaker @joshfoxfilm: Clinton proposals a ""disaster"" for climate https://t.co/qH4Cw48IbT @LETGOANDLOVEdoc #TheLead https:…",True,False,"thelead","photo","ohiotimmons3","",1002,"Ohio, USA",21398,1516,"C0DEED","Mon Feb 04 15:45:43 +0000 2013",False
